url,category,label,timestamp,is_blocked,risk_level
https://www.news.com,news,news,2025-01-24 11:15:12.100364,False,low
https://xxkkb.news.com/avptwcfb,news,news,2025-01-24 11:15:12.100364,False,low
https://kxwjw.news.com/ahxrilgs,news,news,2025-01-24 11:15:12.100364,False,low
https://frwte.news.com/ridaegjk,news,news,2025-01-24 11:15:12.100364,False,low
https://taylw.news.com/sbciqcwr,news,news,2025-01-24 11:15:12.100364,False,low
https://ielll.news.com/gbtnbkwy,news,news,2025-01-24 11:15:12.100364,False,low
https://vuvhc.news.com/ikokvcnv,news,news,2025-01-24 11:15:12.100364,False,low
https://evyxr.news.com/aldtqoat,news,news,2025-01-24 11:15:12.100364,False,low
https://ctsdc.news.com/zlnzzgqe,news,news,2025-01-24 11:15:12.100364,False,low
https://dobyi.news.com/pitsjkcb,news,news,2025-01-24 11:15:12.100364,False,low
https://szujc.news.com/apbcxmfq,news,news,2025-01-24 11:15:12.100364,False,low
https://vlyec.news.com/ewbqnzgn,news,news,2025-01-24 11:15:12.100364,False,low
https://yaliz.news.com/vcoictdq,news,news,2025-01-24 11:15:12.100364,False,low
https://uvkwk.news.com/enmmaqql,news,news,2025-01-24 11:15:12.100364,False,low
https://ftevm.news.com/wlrctajk,news,news,2025-01-24 11:15:12.100364,False,low
https://pvjbj.news.com/fkhmlufi,news,news,2025-01-24 11:15:12.100364,False,low
https://quwip.news.com/pnkzqxgy,news,news,2025-01-24 11:15:12.100364,False,low
https://esdgf.news.com/lhpqnbfg,news,news,2025-01-24 11:15:12.100364,False,low
https://klegn.news.com/qqbxxbqj,news,news,2025-01-24 11:15:12.100364,False,low
https://nzrxk.news.com/egbpqoow,news,news,2025-01-24 11:15:12.100364,False,low
https://cpioz.news.com/koltesar,news,news,2025-01-24 11:15:12.100364,False,low
https://yikil.news.com/wncrlgdn,news,news,2025-01-24 11:15:12.100364,False,low
https://qipau.news.com/dgtjlyfb,news,news,2025-01-24 11:15:12.100364,False,low
https://kzdll.news.com/ewrzkhfv,news,news,2025-01-24 11:15:12.100364,False,low
https://vdmkz.news.com/odfbncvy,news,news,2025-01-24 11:15:12.100364,False,low
https://jmpmk.news.com/qagxafze,news,news,2025-01-24 11:15:12.100364,False,low
https://fbhop.news.com/vuzgdakd,news,news,2025-01-24 11:15:12.100364,False,low
https://sgiwu.news.com/qkrijsxq,news,news,2025-01-24 11:15:12.100364,False,low
